机构开户信息,经营范围,必填,按营业执照登记的经营范围描述或国民经济行业分类编码,涉经营进出口/金融/博彩/房地产/加密货币/贵金属等行业→触发EDD
机构开户信息,注册资本/实缴资本,必填,万元人民币,注册资本 vs 实缴资本的差异过大须关注(认缴未出资本须标注)
机构开户信息,成立时间/经营期限,必填,YYYY-MM-DD,长期=9999-12-31
机构开户信息,法定代表人/负责人信息,必填,姓名+证件种类+证件号码,须复现个人 KYC 项目(含 PEP 筛查)
机构开户信息,授权经办人信息,条件必填(非由法定代表人亲自办理),姓名+证件+联系方式+授权委托书影像,权限范围须明确
控制人信息,股东信息(持股≥25%),必填,逐层穿透至自然人上述信息,持股穿透链——中间层若是企业法人须继续向上穿透至自然人(详见受益所有人识别规则),**kyc-doc-parse**须提取股权结构图
控制人信息,实际控制人(表决权/协议控制),必填,若与最大股东不一致须说明控制方式,一致行动协议/董事委派权等——须穿透判断
控制人信息,受益所有人(无≥25%股东时),条件必填,法定代表人/主要负责人等高级管理人员(兜底),机构确实不存在自然人为受益所有人时才应用
反洗钱专项,政治公众人物(PEP)身份,必填,是(PEP本人/直系亲属/密切关系人)/否,**PEP=必触发的EDD条件**——离职后应基于风险持续强化尽调(常见实践延续一段期间,"1年"非法定固定值,以风险为本判断)
反洗钱专项,负面媒体/制裁筛查结果,必填,通过/命中,与制裁名单/权威媒体负面信息匹配——命中须记录在案且 EDD
反洗钱专项,资金来源,必填,自述声明(工资/经营/投资/继承/受赠等),高风险来源(非本人工资/无明确来源等)须触发 EDD
反洗钱专项,开户目的,必填,自述声明,与后续实际交易行为的契合度→作为可疑交易判断的辅助因素
风险测评,投资经验(年限),必填,1无经验;2<1年;3:1-3年;4:3-5年;5:5-10年;6:>10年,影响适当性匹配
风险测评,风险承受等级,必填,C1-C5(保守→积极),根据风险测评问卷评分结果确定
风险测评,投资目标,必填,资产保值/稳健增值/成长/激进,与推荐产品的风险等级须匹配
风险测评,风险测评问卷,必填,完整的测评问卷答题记录+评分+出具等级,涉反洗钱客户尽调资料须留档(业务关系结束后≥10年,反洗钱法2024第三十四条);适当性测评资料另按证监会适当性规则留存
其他,CRS/FATCA 自证声明文件,条件必填,非中国税收居民 + 双重税收居民须提交,根据账户持有人税收居民国要求——美国居民须提交 W-9,非美外国居民须提交 W-8BEN / W-8BEN-E(实体)
其他,W-8/W-9 表格,条件必填,根据FATCA要求——机构账户划分FFI/NFFE类型,填写W-8IMY / W-8EXP 等
其他,投资者承诺函/风险揭示书签章,必填,签署版文件影像,须人工或AI核验签名/用印
其他,适当性匹配确认书,必填(适当性越级时),特别风险揭示+客户书面确认越级购买意愿,高风险操作——越级匹配须双层审批

# 出处与核对状态: AI整理,未对照原文核对,不作合规依据;须经资质人员对照官方原文核对后标注已核对
